n,budget,pool_cap,optimal_dynamic,optimal_static,optimal_static_nonoverlap,static_nonoverlap_greedy,exact_joint_greedy,marginal_product_greedy,adaptivity_gap,static_fraction_dynamic,static_nonoverlap_fraction_dynamic,static_greedy_fraction_dynamic,exact_joint_fraction_dynamic,marginal_product_fraction_dynamic,exact_minus_marginal,root_choices_differ,dynamic_states,exact_greedy_states,marginal_greedy_states,runtime_seconds,setting,instance,seed,utilities,health_probabilities
4,2,4,0.3047172487755594,0.3044385910909084,0.3044385910909084,0.3044385910909084,0.3044385910909084,0.3044385910909084,1.000915316562373,0.9990855204758814,0.9990855204758814,0.9990855204758814,0.9990855204758814,0.9990855204758814,0.0,0,162,7,7,0.001932166051119566,random_n4_b2_g4,19,20260830,"(0.25499735424861136, 0.1822676447575008, 0.266440416661048, 0.11879840544734752)","(0.37979750774928867, 0.4017709599508899, 0.7791281595566273, 0.5211764121000939)"
4,2,4,0.3561958333601957,0.3551726290291816,0.3551726290291817,0.3551726290291817,0.3561958333601957,0.3561958333601957,1.0028808648172325,0.9971274107241468,0.9971274107241469,0.9971274107241469,1.0,1.0,0.0,0,162,7,7,0.000499458983540535,random_n4_b2_g4,20,20260830,"(0.4383046410520224, 0.15279239973672928, 0.154525509824416, 0.16861796525038197)","(0.2277283932376004, 0.38102565248584247, 0.932351300558316, 0.847568613531312)"
4,2,4,1.5127289894689873,1.5127289894689873,1.5127289894689873,1.5127289894689873,1.5127289894689868,1.5127289894689868,1.0,1.0,1.0,1.0,0.9999999999999997,0.9999999999999997,0.0,0,162,7,7,0.0005001667886972427,random_n4_b2_g4,21,20260830,"(1.429145455060361, 0.742639376008026, 1.577289857140853, 1.3406580909962256)","(0.4764521356902178, 0.5503406814178371, 0.13631738516573583, 0.6204487115543404)"
4,2,4,2.2707091813404805,2.2707091813404796,2.2707091813404796,2.0604925081912864,2.216712759759914,2.216712759759914,1.0000000000000004,0.9999999999999996,0.9999999999999996,0.9074224586412709,0.9762204592185202,0.9762204592185202,0.0,0,162,7,7,0.0004897080361843109,random_n4_b2_g4,22,20260830,"(0.8398262115453584, 0.10579401620486316, 1.9691530373712982, 0.2741869738667963)","(0.9196913729098996, 0.376008465707244, 0.7608998546089583, 0.3457071706227672)"
4,2,4,0.7672891874117747,0.7672891874117747,0.7672891874117747,0.7672891874117747,0.7672891874117747,0.7672891874117747,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,162,7,7,0.0004993332549929619,random_n4_b2_g4,23,20260830,"(0.11126106763103362, 1.2946428377406096, 0.20051679501370673, 0.26262707208095637)","(0.18552083358946586, 0.4545088754090807, 0.2468945623728241, 0.681051369748865)"
4,2,4,0.3734190611281042,0.3724924772212857,0.37249247722128576,0.37249247722128576,0.3734190611281042,0.3734190611281042,1.002487523811838,0.997518648608833,0.9975186486088332,0.9975186486088332,1.0,1.0,0.0,0,162,7,7,0.0004961248487234116,random_n4_b2_g4,24,20260830,"(0.13603357980831524, 0.15922239666535903, 0.31301693950371595, 0.1981241269192185)","(0.8569211322871899, 0.28182324402767517, 0.35864089240554, 0.9087994080104878)"
4,2,4,1.1954100487561048,1.195410048756105,1.195410048756105,0.840123226744959,1.0717769567599091,1.0717769567599091,0.9999999999999998,1.0000000000000002,1.0000000000000002,0.7027908353448736,0.896576833928372,0.896576833928372,0.0,0,162,7,7,0.000520666129887104,random_n4_b2_g4,25,20260830,"(0.19989736606058975, 0.8631956592075173, 1.2649379176788953, 0.23015240703232062)","(0.7212164741143305, 0.7077919848212607, 0.46203617716587553, 0.44580266379277855)"
4,2,4,1.6364390521518835,1.5913192746421423,1.5748471389002316,1.4314668993852115,1.6364390521518835,1.6364390521518835,1.028353692579943,0.9724280733520692,0.9623622320851731,0.874745012655902,1.0,1.0,0.0,0,162,7,7,0.0005222922191023827,random_n4_b2_g4,26,20260830,"(0.4142936472662797, 1.333611504482363, 0.18146540914247913, 0.19480623958414406)","(0.803776934872324, 0.9205654855183311, 0.07368570730368451, 0.7091182334086524)"
4,2,4,0.4672922815252611,0.46531488134516297,0.4500613117157256,0.4500613117157256,0.4672922815252611,0.4672922815252611,1.0042495958314974,0.9957683868142572,0.9631259267683753,0.9631259267683753,1.0,1.0,0.0,0,162,7,7,0.0004932498559355736,random_n4_b2_g4,27,20260830,"(0.44770703739964335, 0.20165782224192538, 0.21680032035041058, 0.4302458071920129)","(0.5209044946021986, 0.36794028133206713, 0.892623472343025, 0.32791551746933817)"
4,2,4,0.39336074360220324,0.3933607436022032,0.3933607436022032,0.3933607436022032,0.3933607436022032,0.3933607436022032,1.0000000000000002,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,0,162,7,7,0.0005012918263673782,random_n4_b2_g4,28,20260830,"(0.27661953197919376, 0.361895249428864, 1.9136949038645095, 0.119445675699956)","(0.23213642855445077, 0.5164470906780959, 0.10788605565470016, 0.39212823107487654)"
